gid,row,col,xcoord,ycoord,agri_gc,cmr_max,cmr_mean,cmr_min,cmr_sd,imr_max,imr_mean,imr_min,imr_sd,landarea,petroleum_s,ttime_max,ttime_mean,ttime_min,ttime_sd,urban_gc,water_gc
"52058","73","218","-71.25","-53.75","3.7993827","0.8","0.8","0.8","0","108","108","108","0","1338.2471",,"1363","797.2198","209","309.0535","0","27.19753"
"52059","73","219","-70.75","-53.75","1.6203704","0.8","0.8","0.8","0","108","108","108","0","784.07336",,"850","427.0216","101","161.3111","0","58.848766"
"52060","73","220","-70.25","-53.75","0.4634745","0.8","0.8","0.8","0","108","108","108","0","486.35846",,"900","432.09753","165","148.49864","0","74.65316"
"52061","73","221","-69.75","-53.75","4.611111","0.8","0.8","0.8","0","108","108","108","0","1357.9608",,"1372","782.99646","298","304.82416","0","30.512346"
"52062","73","222","-69.25","-53.75","12.320988","0.8","0.8","0.8","0","108","108","108","0","1793.8608",,"1231","497.9359","251","209.10948","0","7.1759257"
"52063","73","223","-68.75","-53.75","19.87963","5","1.85","0.8","1.8186533","108","99.75","75","14.289419","1827.7697",,"627","352.97305","107","113.190636","0","0.93209875"
"52064","73","224","-68.25","-53.75","37.48457","5","5","5","0","75","75","75","0","1810.8978",,"421","188.62273","59","77.00834","0","0.83641976"
"52065","73","225","-67.75","-53.75","17.003086","5","5","5","0","75","75","75","0","911.166",,"300","106.36886","31","56.916447","0.08950617","51.419754"
"52066","73","226","-67.25","-53.75","0.32098764","5","5","5","0","75","75","75","0","14.8379345",,"235","187.13954","122","22.664984","0","98.91358"
"52772","74","212","-74.25","-53.25","0.7006173","0.8","0.8","0.8","0","108","108","108","0","345.86398",,"1305","1176.4994","1077","54.46653","0","81.333336"
"52773","74","213","-73.75","-53.25","1.7067901","0.8","0.8","0.8","0","108","108","108","0","473.98526",,"1237","1072.495","928","52.0675","0","73.81481"
"52774","74","214","-73.25","-53.25","1.4537038","0.8","0.8","0.8","0","108","108","108","0","962.1197",,"1282","985.2592","811","76.932","0","58.37037"
"52775","74","215","-72.75","-53.25","2.0679011","0.8","0.8","0.8","0","108","108","108","0","1362.2965",,"1267","919.2734","457","179.09879","0","30.25926"
"52776","74","216","-72.25","-53.25","1.3734568","0.8","0.8","0.8","0","108","108","108","0","1226.6685",,"933","556.69214","253","148.72427","0","34.657406"
"52777","74","217","-71.75","-53.25","2.619491","0.8","0.8","0.8","0","108","108","108","0","1034.0581",,"1431","626.1598","174","261.2702","0","46.930477"
"52778","74","218","-71.25","-53.25","7.9228396","0.8","0.8","0.8","0","108","108","108","0","1651.9248",,"1255","403.79776","39","310.0533","0","12.064815"
"52779","74","219","-70.75","-53.25","2.6851852","0.8","0.8","0.8","0","108","108","108","0","232.02953",,"254","71.13345","0","43.142216","0.19444445","84.6821"
"52780","74","220","-70.25","-53.25","10.135052","0.8","0.8","0.8","0","108","108","108","0","1453.7125",,"684","347.4686","165","102.03269","0","29.650091"
"52781","74","221","-69.75","-53.25","6.512346","0.8","0.8","0.8","0","108","108","108","0","1266.7451",,"951","599.7702","263","186.19763","0","26.469135"
"52782","74","222","-69.25","-53.25","27","0.8","0.8","0.8","0","108","108","108","0","1657.7665",,"726","405.34814","282","83.25977","0","10.135802"
"52783","74","223","-68.75","-53.25","36.820988","5","1.85","0.8","1.8186533","108","99.75","75","14.289419","1793.2561",,"625","381.35632","237","80.65325","0","2.691358"
"52784","74","224","-68.25","-53.25","19.743828","5","5","5","0","75","75","75","0","690.28503",,"556","324.1632","193","75.51299","0","64.30864"
"53491","75","211","-74.75","-52.75","0.19135803","0.8","0.8","0.8","0","108","108","108","0","173.06194",,"1352","1232.0616","1117","46.203117","0","91.55247"
"53492","75","212","-74.25","-52.75","0.12962963","0.8","0.8","0.8","0","108","108","108","0","289.82864",,"1343","1150.9551","1033","70.12555","0","87.5679"
"53493","75","213","-73.75","-52.75","1.2623457","0.8","0.8","0.8","0","108","108","108","0","720.8546",,"1458","1148.2764","932","120.533455","0","63.552467"
"53494","75","214","-73.25","-52.75","1.0339506","0.8","0.8","0.8","0","108","108","108","0","1401.0131",,"1657","1239.9767","838","139.9568","0","29.246914"
"53495","75","215","-72.75","-52.75","0.4722222","0.8","0.8","0.8","0","108","108","108","0","1331.409",,"1291","837.0619","474","190.14125","0","37.5"
"53496","75","216","-72.25","-52.75","1.1820987","0.8","0.8","0.8","0","108","108","108","0","1223.0332",,"1183","737.05566","324","199.32468","0","37.080246"
"53497","75","217","-71.75","-52.75","14.366853","0.8","0.8","0.8","0","108","108","108","0","1142.3253",,"914","441.29645","118","177.0863","0","35.878338"
"53498","75","218","-71.25","-52.75","22.648148","0.8","0.8","0.8","0","108","108","108","0","1378.1495",,"444","156.40598","55","82.58933","0","28.438272"
"53499","75","219","-70.75","-52.75","21.003086","0.8","0.8","0.8","0","108","108","108","0","1188.0596",,"375","142.44948","41","69.77501","0","36.42284"
"53500","75","220","-70.25","-52.75","11.3044815","0.8","0.8","0.8","0","108","108","108","0","847.03705",,"453","243.14018","116","73.50051","0","53.00491"
"53501","75","221","-69.75","-52.75","11.240741","0.8","0.8","0.8","0","108","108","108","0","1117.9536",,"719","412.17303","236","92.41655","0","41.876545"
"53502","75","222","-69.25","-52.75","13.268518","0.8","0.8","0.8","0","108","108","108","0","1490.3817",,"627","389.03235","260","62.506123","0","20.645061"
"53503","75","223","-68.75","-52.75","8.256173","5","1.6521739","0.8","1.678941","108","101.304344","75","13.19168","1369.526",,"587","382.86774","210","73.9376","0.07098766","28.521605"
"53504","75","224","-68.25","-52.75","0.72530866","5","5","5","0","75","75","75","0","239.6927",,"451","350.5238","284","31.799828","0.027777778","88.265434"
"53979","75","699","169.25","-52.75","1.5771605",,,,,,,,,"114.01665",,"1425","1393.8145","1344","15.143526","0","96.21296"
"54210","76","210","-75.25","-52.25","0.08024691","0.8","0.8","0.8","0","108","108","108","0","12.235393",,"1374","1286.4562","1237","41.011368","0","99.03086"
"54211","76","211","-74.75","-52.25","2.2253087","0.8","0.8","0.8","0","108","108","108","0","474.24356",,"1470","1254.9059","1117","73.69939","0","71.93827"
"54212","76","212","-74.25","-52.25","0.8271605","0.8","0.8","0.8","0","108","108","108","0","438.69415",,"1474","1246.1719","1089","89.690155","0","67.94136"
"54213","76","213","-73.75","-52.25","2.228395","0.8","0.8","0.8","0","108","108","108","0","938.9574",,"1562","1263.2246","1069","93.53466","0","49.43827"
"54214","76","214","-73.25","-52.25","1.3333334","0.8","0.8","0.8","0","108","108","108","0","1601.77",,"1723","1207.7231","518","281.07016","0","19.22531"
"54215","76","215","-72.75","-52.25","0.6697531","0.8","0.8","0.8","0","108","108","108","0","1479.028",1,"1281","738.7867","293","162.9277","0","28.404322"
"54216","76","216","-72.25","-52.25","2.5925925","0.8","0.8","0.8","0","108","108","108","0","1869.7722",1,"1093","578.8917","189","230.49844","0","3.7623458"
"54217","76","217","-71.75","-52.25","11.85599","0.8","0.8","0.8","0","108","108","108","0","1892.4",1,"1169","631.20807","137","273.9922","0","0.046554934"
"54218","76","218","-71.25","-52.25","25.135803","0.8","0.8","0.8","0","108","108","108","0","1892.4",,"496","217.99945","90","85.021774","0","0.33641976"
"54219","76","219","-70.75","-52.25","10.382716","0.8","0.8","0.8","0","108","108","108","0","1892.4",,"439","189.95833","98","65.215836","0","0.009259259"
"54220","76","220","-70.25","-52.25","11.577655","0.8","0.8","0.8","0","108","108","108","0","1892.4",,"544","212.66444","121","74.01424","0","0.095150396"
"54221","76","221","-69.75","-52.25","6.5","5","1.3541666","0.8","1.4214075","128","110.638885","108","6.768607","1849.6832",,"544","229.94655","39","71.41618","0","3.006173"
"54222","76","222","-69.25","-52.25","1.5771605","5","2.9253013","0.8","2.0998476","128","118.12048","108","9.999274","915.98987",,"512","211.92207","38","109.76052","0","51.592594"
"54223","76","223","-68.75","-52.25","1.095679","5","4.634783","0.8","1.1468705","128","126.26087","108","5.4570847","999.25385",,"315","130.60596","46","54.783802","0.052469134","44.385803"
"54224","76","224","-68.25","-52.25","0.033950616","5","5","5","0","128","128","128","0","92.9541",,"383","301.48306","214","42.90001","0","93.97222"
"54699","76","699","169.25","-52.25","0.2191358",,,,,,,,,"50.039253",,"1399","1381.4333","1338","18.216629","0","99.35185"
"54930","77","210","-75.25","-51.75","2.6882715","0.8","0.8","0.8","0","108","108","108","0","290.45804",,"1607","1426.829","1283","67.74961","0","86.512344"
"54931","77","211","-74.75","-51.75","1.7746913","0.8","0.8","0.8","0","108","108","108","0","619.01587",,"1617","1402.2539","1240","81.20557","0","64.108025"
"54932","77","212","-74.25","-51.75","0.38271606","0.8","0.8","0.8","0","108","108","108","0","665.4622",,"1672","1411.7045","1213","85.26567","0","67.583336"
"54933","77","213","-73.75","-51.75","1.1728395","0.8","0.8","0.8","0","108","108","108","0","1027.7295",,"1674","1421.0245","1223","94.54944","0","48.756172"
"54934","77","214","-73.25","-51.75","1.8703704","0.8","0.8","0.8","0","108","108","108","0","1609.5042",,"1569","1058.9728","532","208.32372","0","27.05247"
"54935","77","215","-72.75","-51.75","7.4290123","0.8","0.8","0.8","0","108","108","108","0","1082.8304",1,"1052","555.9924","241","142.29608","0","42.469135"
"54936","77","216","-72.25","-51.75","24.864197","5","2.1708333","0.8","1.969344","128","114.52778","108","9.377829","1864.5547",1,"872","361.0396","190","120.77","0","7.2808642"
"54937","77","217","-71.75","-51.75","29.869646","5","4.825","0.8","0.83927053","128","127.166664","108","3.9965262","1913.6565",1,"683","296.8947","183","70.94508","0","0.68901306"
"54938","77","218","-71.25","-51.75","7.29321","5","5","5","0","128","128","128","0","1913.6565",,"487","268.55084","168","69.962746","0","0.2037037"
"54939","77","219","-70.75","-51.75","1.3672839","5","5","5","0","128","128","128","0","1913.6565",,"361","189.82167","120","43.15826","0","0.055555556"
"54940","77","220","-70.25","-51.75","0.3437692","5","5","5","0","128","128","128","0","1913.6565",,"415","177.51028","74","78.01591","0","0.6599141"
"54941","77","221","-69.75","-51.75","2.5493827","5","5","5","0","128","128","128","0","1902.5889",,"334","112.661934","27","63.178135","0","0.5740741"
"54942","77","222","-69.25","-51.75","2.175926","5","5","5","0","128","128","128","0","1775.2749",,"271","80.46119","0","53.023533","0.16975309","8.410494"
"54943","77","223","-68.75","-51.75","0.009259259","5","5","5","0","128","128","128","0","458.22565",,"263","106.48167","31","50.88901","0.4845679","74.37654"
"55650","78","210","-75.25","-51.25","2.3703704","0.8","0.8","0.8","0","108","108","108","0","284.20715",,"1685","1520.1812","1375","56.05621","0","86.54012"
